City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
,38.4193,,37.99,,,,,
,-54.8,,59.0,,,,,
,71.9667,,-25.6,,,,,
,-9.8,,77.9,,,,,
,-15.1961,,74.82,,,,,
,66.0217,,26.6,,,,,
,4.9333,,84.2,,,,,
,-32.035,,82.99,,,,,
,-28.783,,73.85,,,,,
,63.7506,,1.0,,,,,
,-53.15,,62.6,,,,,
,-19.55,,79.43,,,,,
,43.2128,,35.01,,,,,
,-46.6,,62.01,,,,,
,-0.7393,,80.6,,,,,
,30.4091,,53.6,,,,,
,-13.8833,,81.48,,,,,
,-33.65,,60.01,,,,,
,70.3705,,34.45,,,,,
,42.6001,,39.0,,,,,
,63.3667,,-11.09,,,,,
,-37.6167,,61.14,,,,,
,-33.8167,,86.0,,,,,
,-28.65,,64.4,,,,,
,20.5022,,62.91,,,,,
,-24.8667,,80.6,,,,,
,37.4636,,66.0,,,,,
,23.306,,43.45,,,,,
,48.1128,,26.01,,,,,
,42.097,,36.0,,,,,
,-46.1927,,62.01,,,,,
,-23.1203,,78.04,,,,,
,22.0752,,73.4,,,,,
,-26.1775,,93.2,,,,,
,-34.4187,,64.99,,,,,
,-33.0117,,68.0,,,,,
,-9.0122,,80.53,,,,,
,41.3712,,42.8,,,,,
,47.6666,,33.01,,,,,
,68.75,,-20.94,,,,,
,-24.7911,,76.01,,,,,
,22.2006,,60.8,,,,,
,73.5069,,-31.72,,,,,
,-25.7884,,75.2,,,,,
,-42.7826,,52.0,,,,,
,-20.5167,,80.6,,,,,
,18.55,,75.2,,,,,
,-33.9258,,70.0,,,,,
,67.45,,-32.37,,,,,
,-33.8667,,53.6,,,,,
,3.0707,,80.83,,,,,
,2.6708,,81.46,,,,,
,32.6667,,55.99,,,,,
,5.4112,,80.01,,,,,
,4.9247,,77.54,,,,,
,34.2576,,46.4,,,,,
,22.6783,,61.12,,,,,
,69.2167,,12.2,,,,,
,-8.103,,83.17,,,,,
,-46.1333,,62.01,,,,,
,60.1432,,20.8,,,,,
,8.3404,,80.08,,,,,
,53.5739,,-18.81,,,,,
,19.7297,,75.2,,,,,
,62.456,,-4.0,,,,,
,40.485,,28.0,,,,,
,-3.9014,,86.0,,,,,
,5.1053,,80.19,,,,,
,4.1213,,76.32,,,,,
,-33.918,,69.8,,,,,
,55.2834,,37.4,,,,,
,65.5833,,-8.7,,,,,
,-45.8667,,69.8,,,,,
,55.1001,,28.4,,,,,
,-33.5906,,69.01,,,,,
,21.9264,,56.39,,,,,
,36.8197,,46.0,,,,,
,41.3278,,51.01,,,,,
,-20.3428,,80.6,,,,,
,-2.65,,77.95,,,,,
,-8.9266,,62.04,,,,,
,-22.6667,,77.72,,,,,
,70.6333,,-15.25,,,,,
,72.7868,,10.85,,,,,
,-35.3333,,68.56,,,,,
,-29.9533,,64.4,,,,,
,-6.9811,,84.2,,,,,
,54.7183,,-21.42,,,,,
,-0.6,,81.16,,,,,
,-21.3585,,82.4,,,,,
,-21.6403,,86.0,,,,,
,10.2849,,73.65,,,,,
,-21.2,,80.6,,,,,
,22.8909,,77.0,,,,,
,29.1614,,51.67,,,,,
,-33.6971,,84.2,,,,,
,64.3833,,-4.0,,,,,
,39.7432,,13.95,,,,,
,51.3813,,44.01,,,,,
,60.9167,,19.4,,,,,
,12.485,,84.2,,,,,
,61.0108,,-3.1,,,,,
,65.6145,,30.2,,,,,
,70.4692,,1.4,,,,,
,77.484,,5.31,,,,,
,-7.2597,,84.2,,,,,
,12.7794,,76.21,,,,,
,47.4667,,5.92,,,,,
,-20.7377,,88.02,,,,,
,-28.55,,65.03,,,,,
,16.1833,,71.6,,,,,
,69.4865,,-26.81,,,,,
,12.35,,68.45,,,,,
,60.34,,-44.28,,,,,
,40.2833,,17.28,,,,,
,28.017,,64.4,,,,,
,60.3071,,4.57,,,,,
,-37.8333,,46.4,,,,,
,-30.1811,,76.48,,,,,
,6.1241,,73.4,,,,,
,29.2858,,62.01,,,,,
,45.9339,,-17.79,,,,,
,-15.7504,,69.35,,,,,
,41.9563,,46.4,,,,,
,34.6391,,79.0,,,,,
,2.8197,,89.6,,,,,
,-3.8004,,76.42,,,,,
,46.4333,,14.0,,,,,
,57.79,,39.2,,,,,
,33.3406,,53.6,,,,,
,42.2506,,34.0,,,,,
,-31.9333,,70.0,,,,,
,37.1041,,62.01,,,,,
,50.2396,,26.01,,,,,
,50.6996,,44.6,,,,,
,14.8961,,71.89,,,,,
,28.5004,,64.4,,,,,
,51.1494,,24.8,,,,,
,-29.15,,75.2,,,,,
,37.7167,,62.01,,,,,
,63.05,,-9.98,,,,,
,41.0866,,34.79,,,,,
,42.4308,,8.29,,,,,
,-42.8794,,52.0,,,,,
,39.4816,,43.18,,,,,
,68.2191,,-13.0,,,,,
,63.8424,,37.4,,,,,
,22.2769,,63.0,,,,,
,40.5982,,59.0,,,,,
,31.5,,57.99,,,,,
,60.3964,,44.6,,,,,
,19.9333,,87.73,,,,,
,29.0331,,52.29,,,,,
,15.1718,,46.35,,,,,
,-34.5322,,66.2,,,,,
,68.3499,,-5.8,,,,,
,15.85,,82.4,,,,,
,71.2906,,-0.4,,,,,
,14.9951,,72.93,,,,,
,71.9167,,-15.72,,,,,
,9.2366,,87.51,,,,,
,14.5333,,68.23,,,,,
,63.4564,,-8.61,,,,,
,-21.2078,,84.2,,,,,
,-20.4081,,80.6,,,,,
,-12.5763,,75.85,,,,,
,16.5833,,66.52,,,,,
,58.3814,,-13.38,,,,,
,36.4072,,43.0,,,,,
,55.3422,,41.0,,,,,
,-1.195,,83.53,,,,,
,38.421,,62.01,,,,,
,-33.8679,,64.99,,,,,
,31.61,,57.99,,,,,
,-22.9661,,84.2,,,,,
,-31.6683,,64.69,,,,,
,50.1001,,15.8,,,,,
,-17.7333,,87.8,,,,,
,22.6906,,56.01,,,,,
,62.2167,,-40.68,,,,,
,66.7131,,16.84,,,,,
,-35.1,,64.0,,,,,
,36.8,,46.0,,,,,
,69.7008,,-17.25,,,,,
,29.9697,,55.4,,,,,
,56.9064,,-24.5,,,,,
,-15.8064,,71.46,,,,,
,14.3,,91.4,,,,,
,50.1489,,20.25,,,,,
,32.941,,23.95,,,,,
,-39.0333,,77.0,,,,,
,-8.0089,,80.6,,,,,
,42.1167,,-6.84,,,,,
,38.5167,,60.8,,,,,
,45.0205,,28.99,,,,,
,-7.8447,,71.6,,,,,
,47.7941,,30.2,,,,,
,49.6,,-6.39,,,,,
,66.3167,,-15.27,,,,,
,38.8876,,48.0,,,,,
,-8.6833,,65.44,,,,,
,-32.25,,51.8,,,,,
,29.4663,,53.55,,,,,
,-8.4667,,78.87,,,,,
,59.7035,,9.0,,,,,
,-32.6259,,77.65,,,,,
,71.6872,,-14.64,,,,,
,-6.8844,,77.59,,,,,
,25.5198,,54.86,,,,,
,-19.5189,,73.0,,,,,
,-9.6567,,77.99,,,,,
,-46.2817,,64.99,,,,,
,29.2747,,41.11,,,,,
,54.8373,,28.99,,,,,
,-9.8756,,84.2,,,,,
,13.1809,,73.27,,,,,
,27.7167,,50.0,,,,,
,-35.3378,,56.07,,,,,
,-21.15,,82.4,,,,,
,60.7522,,15.8,,,,,
,69.9689,,30.2,,,,,
,28.9611,,62.6,,,,,
,69.3833,,-20.0,,,,,
,65.6118,,-9.44,,,,,
,78.2186,,17.6,,,,,
,-4.9667,,72.54,,,,,
,35.1333,,44.6,,,,,
,60.1165,,37.0,,,,,
,-37.2463,,73.4,,,,,
,27.9769,,78.08,,,,,
,52.9999,,30.2,,,,,
,27.3125,,30.07,,,,,
,-40.9167,,66.2,,,,,
,-9.1667,,82.35,,,,,
,-10.1667,,78.89,,,,,
,58.3019,,41.0,,,,,
,-20.2333,,81.82,,,,,
,-13.7,,75.0,,,,,
,10.6667,,76.14,,,,,
,50.6789,,29.37,,,,,
,-22.9575,,71.01,,,,,
,-17.8,,86.0,,,,,
,45.3167,,31.28,,,,,
,44.6453,,37.4,,,,,
,-34.0033,,69.01,,,,,
,62.6667,,-40.88,,,,,
,41.3114,,35.01,,,,,
,-2.9248,,82.8,,,,,
,27.1467,,57.2,,,,,
,-5.1989,,84.2,,,,,
,64.2539,,41.38,,,,,
,35.7333,,39.2,,,,,
,-22.116,,71.01,,,,,
,53.4106,,45.0,,,,,
,22.2855,,61.0,,,,,
,31.3525,,60.33,,,,,
,-38.5473,,68.0,,,,,
,-9.4333,,77.92,,,,,
,-8.8368,,78.8,,,,,
,7.4054,,75.15,,,,,
,41.1415,,45.0,,,,,
,28.6585,,64.4,,,,,
,30.8327,,55.4,,,,,
,7.7669,,87.8,,,,,
,44.5086,,35.35,,,,,
,24.0934,,57.52,,,,,
,54.7804,,32.0,,,,,
,-19.9842,,80.01,,,,,
,58.0174,,15.8,,,,,
,-20.0064,,80.01,,,,,
,-10.0681,,75.24,,,,,
,-38.0023,,68.0,,,,,
,33.1284,,51.8,,,,,
,4.375,,79.05,,,,,
,55.7435,,15.8,,,,,
,49.4864,,4.8,,,,,
,39.3114,,46.0,,,,,
,70.8578,,35.94,,,,,
,29.5833,,55.26,,,,,
,9.3,,77.0,,,,,
,64.9225,,-5.1,,,,,
,18.18,,87.01,,,,,
,27.9333,,44.08,,,,,
,-33.3833,,55.0,,,,,
,-12.9025,,80.6,,,,,
,-20.7333,,78.8,,,,,
,0.8,,78.85,,,,,
,13.55,,63.9,,,,,
,20.7,,73.4,,,,,
,26.2486,,52.47,,,,,
,-34.5833,,57.99,,,,,
,2.8892,,90.12,,,,,
,-33.5189,,84.69,,,,,
,-16.6228,,73.47,,,,,
,62.2266,,41.0,,,,,
,37.9407,,39.99,,,,,
,-34.7333,,61.14,,,,,
,51.8126,,7.0,,,,,
,11.2842,,74.68,,,,,
,-0.1303,,84.2,,,,,
,34.8791,,48.99,,,,,
,36.2505,,69.01,,,,,
,10.6129,,72.41,,,,,
,-9.0744,,88.18,,,,,
,63.4453,,-45.74,,,,,
,39.1834,,36.0,,,,,
,29.7333,,40.89,,,,,
,-6.4667,,71.37,,,,,
,63.9242,,-39.75,,,,,
,56.4447,,10.72,,,,,
,49.0583,,6.8,,,,,
,-27.2812,,67.05,,,,,
,-35.5667,,57.99,,,,,
,24.4667,,64.4,,,,,
,39.8885,,46.4,,,,,
,-29.1253,,92.07,,,,,
,-34.6534,,90.0,,,,,
,28.1667,,52.36,,,,,
,-23.9931,,87.01,,,,,
,-14.9003,,75.99,,,,,
,31.6682,,56.05,,,,,
,55.38,,2.95,,,,,
,62.6323,,15.8,,,,,
,-3.2778,,82.51,,,,,
,66.7697,,-35.82,,,,,
,10.0667,,67.57,,,,,
,-20.3167,,87.8,,,,,
,57.5558,,11.03,,,,,
,69.4541,,-2.2,,,,,
,-28.7667,,86.0,,,,,
,-10.6167,,83.34,,,,,
,24.9056,,55.4,,,,,
,64.5667,,-30.03,,,,,
,-43.5333,,66.99,,,,,
,4.8845,,79.83,,,,,
,66.0449,,33.8,,,,,
,11.6667,,77.5,,,,,
,6.9954,,83.34,,,,,
,63.7256,,26.6,,,,,
,29.5958,,57.0,,,,,
,42.6667,,23.0,,,,,
,46.4856,,-17.61,,,,,
,53.6039,,5.0,,,,,
,65.8596,,12.2,,,,,
,-14.8333,,86.0,,,,,
,12.524,,78.8,,,,,
,19.75,,61.66,,,,,
,-45.4167,,53.67,,,,,
,45.5234,,48.99,,,,,
,49.7834,,26.6,,,,,
,12.5847,,86.0,,,,,
,-0.9131,,77.02,,,,,
,4.1363,,76.01,,,,,
,-25.2406,,66.2,,,,,
,-29.6842,,75.2,,,,,
,60.4128,,-8.68,,,,,
,-20.4431,,81.95,,,,,
,-41.8697,,64.4,,,,,
,66.0317,,-17.12,,,,,
,22.8779,,54.91,,,,,
,21.4022,,73.99,,,,,
,68.0546,,-15.84,,,,,
,57.0531,,46.4,,,,,
,-11.0964,,75.15,,,,,
,-18.5922,,69.8,,,,,
,56.0313,,21.99,,,,,
,37.8333,,33.42,,,,,
,-33.0153,,71.02,,,,,
,4.4148,,75.2,,,,,
,39.2446,,46.11,,,,,
,61.994,,21.67,,,,,
,-17.7125,,80.47,,,,,
,46.7833,,30.0,,,,,
,18.9048,,63.39,,,,,
,71.0357,,35.26,,,,,
,58.5667,,33.8,,,,,
,42.8,,14.77,,,,,
,51.0333,,46.99,,,,,
,25.0213,,69.3,,,,,
,53.9896,,15.8,,,,,
,48.7555,,22.23,,,,,
,40.7391,,41.0,,,,,
,10.9995,,74.89,,,,,
,-2.8833,,78.03,,,,,
,13.2167,,84.2,,,,,
,1.2897,,78.8,,,,,
,65.85,,-6.75,,,,,
,41.7711,,34.63,,,,,
,21.9419,,77.77,,,,,
,46.844,,8.02,,,,,
,36.6777,,70.0,,,,,
,7.3833,,81.86,,,,,
,27.9659,,64.0,,,,,
,68.0531,,28.71,,,,,
,57.6935,,15.04,,,,,
,65.282,,-2.2,,,,,
,19.9711,,63.99,,,,,
,-8.7386,,63.97,,,,,
,23.6667,,63.16,,,,,
,-35.1667,,69.08,,,,,
,15.75,,81.52,,,,,
,35.2937,,53.6,,,,,
,21.4612,,82.4,,,,,
,-33.4131,,86.0,,,,,
,64.1835,,23.0,,,,,
,33.816,,50.0,,,,,
,54.1502,,35.6,,,,,
,59.4511,,-46.34,,,,,
,-3.4833,,71.85,,,,,
,41.1231,,13.3,,,,,
,-15.5,,62.6,,,,,
,9.1924,,78.01,,,,,
,61.2767,,-48.17,,,,,
,-16.4833,,81.0,,,,,
,6.4788,,75.87,,,,,
,-21.5667,,78.84,,,,,
,41.631,,43.52,,,,,
,22.1975,,63.57,,,,,
,46.0833,,-11.25,,,,,
,-5.8092,,84.58,,,,,
,53.6167,,-16.89,,,,,
,-15.4606,,89.6,,,,,
,-0.9492,,75.2,,,,,
,48.3903,,11.34,,,,,
,-17.2614,,77.36,,,,,
,-14.25,,80.53,,,,,
,50.3167,,24.01,,,,,
,18.3851,,55.4,,,,,
,50.0969,,-27.4,,,,,
,54.2344,,5.0,,,,,
,60.3778,,-7.98,,,,,
,34.6851,,42.01,,,,,
,36.6177,,71.01,,,,,
,1.0968,,59.7,,,,,
,15.1333,,71.6,,,,,
,-19.7625,,77.0,,,,,
,32.7026,,57.2,,,,,
,44.8506,,36.0,,,,,
,46.5389,,1.27,,,,,
,69.4058,,-27.98,,,,,
,57.9375,,15.76,,,,,
,-15.5333,,76.59,,,,,
,35.6003,,13.86,,,,,
,-2.5364,,89.11,,,,,
,7.0419,,78.8,,,,,
,-34.2,,55.4,,,,,
,6.4926,,77.94,,,,,
,-3.7703,,89.6,,,,,
,41.0002,,42.8,,,,,
,-45.8742,,62.01,,,,,
,70.2396,,33.8,,,,,
,21.1167,,66.65,,,,,
,5.4033,,76.91,,,,,
,-38.2667,,55.4,,,,,
,57.3894,,14.0,,,,,
,-20.6667,,84.2,,,,,
,-20.4836,,82.38,,,,,
,-5.6667,,83.53,,,,,
,33.9674,,43.0,,,,,
,45.7625,,-3.08,,,,,
,64.8989,,-15.16,,,,,
,1.05,,75.07,,,,,
,30.7522,,39.0,,,,,
,25.2582,,66.2,,,,,
,-0.8833,,78.93,,,,,
,7.1531,,75.81,,,,,
,20.931,,69.8,,,,,
,19.0,,71.56,,,,,
,4.7084,,78.8,,,,,
,52.6333,,-2.25,,,,,
,51.8,,14.49,,,,,
,31.7167,,70.0,,,,,
,46.5833,,46.0,,,,,
,49.7502,,26.6,,,,,
,8.2667,,75.29,,,,,
,66.1451,,15.8,,,,,
,8.1333,,82.4,,,,,
,19.4667,,78.8,,,,,
,6.8833,,81.01,,,,,
,13.0917,,76.12,,,,,
,-34.0226,,66.2,,,,,
,6.2679,,79.12,,,,,
,-2.95,,71.31,,,,,
,-30.5167,,50.18,,,,,
,55.1168,,0.23,,,,,
,24.3333,,52.63,,,,,
,37.0881,,50.0,,,,,
,-20.3297,,84.2,,,,,
,-14.4469,,66.11,,,,,
,65.9811,,-15.7,,,,,
,-11.9472,,61.9,,,,,
,65.9667,,-7.62,,,,,
,-5.3166,,75.2,,,,,
,-19.8436,,78.8,,,,,
,-33.7333,,89.01,,,,,
,-20.1,,70.88,,,,,
,54.0524,,36.0,,,,,
,-25.4,,68.76,,,,,
,-34.6515,,79.0,,,,,
,37.4695,,42.8,,,,,
,9.75,,84.7,,,,,
,-27.3667,,71.6,,,,,
,-13.7333,,61.95,,,,,
,-19.6667,,72.7,,,,,
,-2.0226,,82.2,,,,,
,27.2696,,55.4,,,,,
,-16.5656,,55.18,,,,,
,5.155,,84.0,,,,,
,-24.1831,,87.01,,,,,
,-31.6333,,86.11,,,,,
,39.0294,,45.07,,,,,
,28.0606,,55.4,,,,,
,9.4427,,82.74,,,,,
,-2.5744,,82.83,,,,,
,-19.0595,,80.6,,,,,
,46.95,,-9.51,,,,,
,8.0777,,72.88,,,,,
,34.2257,,48.99,,,,,
,-3.1374,,79.11,,,,,
,34.6667,,37.99,,,,,
,13.35,,82.11,,,,,
,30.4833,,75.43,,,,,
,40.0458,,26.11,,,,,
,9.285,,73.72,,,,,
,-32.4524,,68.0,,,,,
,53.2168,,34.0,,,,,
,-20.2208,,75.2,,,,,
,33.194,,48.2,,,,,
,27.5833,,34.32,,,,,
,60.8156,,8.6,,,,,
,-0.8917,,75.88,,,,,
,32.9312,,55.65,,,,,
,64.8945,,36.82,,,,,
,21.3333,,63.84,,,,,
,29.6994,,55.99,,,,,
,38.4167,,33.01,,,,,
,-7.05,,79.18,,,,,
,34.7333,,42.01,,,,,
,11.2833,,77.77,,,,,
,45.75,,-9.4,,,,,
,-6.4191,,74.26,,,,,
,38.8,,36.0,,,,,
,13.2154,,75.88,,,,,
,-34.8335,,84.0,,,,,
,18.7369,,73.81,,,,,
,39.8497,,46.4,,,,,
,42.9668,,48.99,,,,,
,-26.6481,,66.36,,,,,
,33.4918,,48.2,,,,,
,46.6166,,26.01,,,,,
,35.7,,37.99,,,,,
,-25.1667,,75.9,,,,,
,-12.2333,,77.0,,,,,
,-41.45,,48.2,,,,,
,52.2667,,13.3,,,,,
,59.3833,,-15.79,,,,,
,46.9233,,24.8,,,,,
,64.8569,,8.01,,,,,
,70.9821,,37.08,,,,,
,17.0818,,72.19,,,,,
,40.5833,,37.0,,,,,
,20.0167,,60.28,,,,,
,36.365,,41.0,,,,,
